"","Character","Occupation","Category","appearances","HigherCategory","Rank","Rank2","id"
"1588","Joy Philbin","American television personality and is the wife of television personality, Regis Philbin","News Entertainer","1","Entertainer","-0.5","1","1588"
"1589","Juan Williams","Panamanian-born American journalist and political analyst for Fox News Channel","News Entertainer","1","Entertainer","-0.5","1","1589"
"1590","Judy Woodruff","American television news anchor, a journalist, and a writer","News Entertainer","1","Entertainer","-0.5","1","1590"
"1591","Jules Asner","American television personality, writer, and former fashion model","News Entertainer","1","Entertainer","-0.5","1","1591"
"1592","Julia Child","American chef, author and television personality","News Entertainer","1","Entertainer","-0.5","1","1592"
"1593","Julian Assange","Australian computer programmer, publisher and journalist","News Entertainer","3","Entertainer","-0.5","1","1593"
"1594","Karen Brown","News director","News Entertainer","1","Entertainer","-0.5","1","1594"
"1595","Karen Duffy","American model, television personality, and actress","News Entertainer","1","Entertainer","-0.5","1","1595"
"1596","Kate Bolduan","American broadcast journalist","News Entertainer","1","Entertainer","-0.5","1","1596"
"1597","Kate Gosselin","American television personality","News Entertainer","2","Entertainer","-0.5","1","1597"
"1598","Kathie Lee Gifford","American television host, singer, songwriter, comedian, and actress, best known for her 15-year run on the talk show Live! with Regis and Kathie Lee","News Entertainer","14","Entertainer","-0.5","1","1598"
"1599","Kathy Griffin","American stand up comedian, writer, producer, actress, and television host","News Entertainer","3","Entertainer","-0.5","1","1599"
"1600","Katie Couric","American journalist and author","News Entertainer","3","Entertainer","-0.5","1","1600"
"1601","Kayleigh McEnany","American political writer, conservative pundit and commentator employed by CNN","News Entertainer","1","Entertainer","-0.5","1","1601"
"1602","Keith Morrison","Canadian broadcast journalist","News Entertainer","4","Entertainer","-0.5","1","1602"
"1603","Keith Olbermann","American sports and political commentator and writer","News Entertainer","1","Entertainer","-0.5","1","1603"
"1604","Kelly O'Donnell","American journalist","News Entertainer","1","Entertainer","-0.5","1","1604"
"1605","Kevin Harlan","American TV and radio sports announcer","News Entertainer","1","Entertainer","-0.5","1","1605"
"1606","Kevin O'Leary","Canadian businessman, and television and radio personality","News Entertainer","2","Entertainer","-0.5","1","1606"
"1607","Kitty Kelley","American journalist and author of several best-selling unauthorized biographies","News Entertainer","1","Entertainer","-0.5","1","1607"
"1608","Kyan Douglas","television personality and stylist","News Entertainer","1","Entertainer","-0.5","1","1608"
"1609","Lara Logan","South African television and radio journalist and war correspondent","News Entertainer","1","Entertainer","-0.5","1","1609"
"1610","Larry King","American television and radio host, whose work has been recognized with awards including two Peabodys and 10 Cable ACE Awards","News Entertainer","21","Entertainer","-0.5","1","1610"
"1611","Lawrence Grossman","Former president of NBC News","News Entertainer","1","Entertainer","-0.5","1","1611"
"1612","Leo Terrell","American civil rights attorney and talk radio host based in LA, California","News Entertainer","1","Entertainer","-0.5","1","1612"
"1613","Lester Holt","American journalist who anchors the weekday edition of NBC Nightly News","News Entertainer","1","Entertainer","-0.5","1","1613"
"1614","Linda Ellerbee","American journalist who is most known for several jobs at NBC News, including Washington, D.C. correspondent, and also as host of the Nickelodeon network's Nick News with Linda Ellerbee","News Entertainer","4","Entertainer","-0.5","1","1614"
"1615","Linda Vester","American television news host","News Entertainer","1","Entertainer","-0.5","1","1615"
"1616","Lisa Ling","American journalist, television presenter, and author","News Entertainer","1","Entertainer","-0.5","1","1616"
"1617","Liz Smith","American gossip columnist known as ""The Grand Dame of Dish""","News Entertainer","2","Entertainer","-0.5","1","1617"
"1618","Lou Dobbs","American television personality, author, radio host, and anchor of Lou Dobbs Tonight on Fox Business Network","News Entertainer","3","Entertainer","-0.5","1","1618"
"1619","Louis Rukeyser","American financial journalist, columnist, and commentator, through print, radio, and television","News Entertainer","1","Entertainer","-0.5","1","1619"
"1620","Lynda Lopez","American journalist and the younger sister of American Singer/Actress Jennifer Lopez","News Entertainer","2","Entertainer","-0.5","1","1620"
"1621","Lynne Cheney","author, scholar, and former talk-show host","News Entertainer","2","Entertainer","-0.5","1","1621"
"1622","Maria Bartiromo","American television journalist, magazine columnist, and author of three books","News Entertainer","2","Entertainer","-0.5","1","1622"
"1623","Mark Cuban","American businessman, investor, author, television personality, and philanthropist","News Entertainer","2","Entertainer","-0.5","1","1623"
"1624","Marlin Perkins","American zoologist best known as a host of the television program Mutual of Omaha's Wild Kingdom from 1963 to 1985","News Entertainer","1","Entertainer","-0.5","1","1624"
"1625","Martha Raddatz","American reporter with ABC News","News Entertainer","2","Entertainer","-0.5","1","1625"
"1626","Martha Stewart","American businesswoman, writer, and television personality","News Entertainer","20","Entertainer","-0.5","1","1626"
"1627","Martin Bashir","British journalist","News Entertainer","2","Entertainer","-0.5","1","1627"
"1628","Marv Albert","American sportscaster","News Entertainer","3","Entertainer","-0.5","1","1628"
"1629","Mary Berry","British food writer and television presenter","News Entertainer","1","Entertainer","-0.5","1","1629"
"1630","Mary Hart","American television personality and was the long-running host of the syndicated gossip and entertainment program Entertainment Tonight","News Entertainer","3","Entertainer","-0.5","1","1630"
"1631","Mary Tillotson","American broadcast journalist formerly with CNN","News Entertainer","1","Entertainer","-0.5","1","1631"
"1632","Matt Iseman","American comedian, actor, and television host, who began his career as a physician","News Entertainer","1","Entertainer","-0.5","1","1632"
"1633","Matt Lauer","American television journalist and host of The Today Show","News Entertainer","2","Entertainer","-0.5","1","1633"
"1634","Max Joseph","American filmmaker and television host","News Entertainer","1","Entertainer","-0.5","1","1634"
"1635","Megyn Kelly","American journalist, political commentator and former corporate defense attorney","News Entertainer","2","Entertainer","-0.5","1","1635"
"1636","Melissa Stark","American television personality and sportscaster who works as a reporter for the NFL Network","News Entertainer","1","Entertainer","-0.5","1","1636"
"1637","Meredith Vieira","American journalist, talk show and game show host","News Entertainer","5","Entertainer","-0.5","1","1637"
"1638","Michael Isikoff","American investigative journalist, formerly with the United States magazine Newsweek","News Entertainer","1","Entertainer","-0.5","1","1638"
"1639","Michael Steele","American politician and MSNBC political analyst as of May 2011","News Entertainer","3","Entertainer","-0.5","1","1639"
"1640","Michaele Salahi","American TV personality and model, gained national attention in 2009 when she and her former husband crashed a White House State dinner in honor of India's Prime Minister","News Entertainer","1","Entertainer","-0.5","1","1640"
"1641","Michele Tafoya","American sportscaster","News Entertainer","1","Entertainer","-0.5","1","1641"
"1642","Michelle Malkin","American conservative blogger, political commentator, and author","News Entertainer","1","Entertainer","-0.5","1","1642"
"1643","Mike ""The Situation"" Sorrentino","American television personality","News Entertainer","3","Entertainer","-0.5","1","1643"
"1644","Mike Wallace","American journalist, game show host, actor, and media personality","News Entertainer","1","Entertainer","-0.5","1","1644"
"1645","Molly Ivins","American newspaper columnist, author, political commentator, and humorist","News Entertainer","1","Entertainer","-0.5","1","1645"
"1646","Montel Williams","American television personality, radio talk show host, and actor","News Entertainer","1","Entertainer","-0.5","1","1646"
"1647","Morton Kondracke","American political commentator and journalist","News Entertainer","4","Entertainer","-0.5","1","1647"
"1648","Mr. Blackwell","American fashion critic, journalist, television and radio personality, artist, former child actor and former fashion designer","News Entertainer","4","Entertainer","-0.5","1","1648"
"1649","Nancy Glass","American television and radio host, writer and producer","News Entertainer","1","Entertainer","-0.5","1","1649"
"1650","Nancy Grace","American legal commentator, television host, television journalist, and former prosecutor","News Entertainer","8","Entertainer","-0.5","1","1650"
"1651","Nancy O'Dell","American television host and entertainment journalist","News Entertainer","1","Entertainer","-0.5","1","1651"
"1652","Neil Cavuto","American television anchor, commentator and business journalist for Fox Broadcasting","News Entertainer","1","Entertainer","-0.5","1","1652"
"1653","Nina Blackwood","American disc jockey and music journalist, who was the first of the original five MTV VJs","News Entertainer","5","Entertainer","-0.5","1","1653"
"1654","Norah O'Donnell","American print and television journalist, currently serving as the co-anchor of CBS This Morning","News Entertainer","4","Entertainer","-0.5","1","1654"
"1655","Norma Quarles","former host of CNN Daybreak","News Entertainer","1","Entertainer","-0.5","1","1655"
"1656","Oliver North","American political commentator and television host, military historian","News Entertainer","2","Entertainer","-0.5","1","1656"
"1657","Oprah Winfrey","American media proprietor, talk show host, actress, producer, and philanthropist","News Entertainer","19","Entertainer","-0.5","1","1657"
"1658","Oriana Fallaci","Italian journalist, author, and political interviewer","News Entertainer","1","Entertainer","-0.5","1","1658"
"1659","Padma Lakshmi","Indian-born American author, actress, model, television host and executive producer","News Entertainer","1","Entertainer","-0.5","1","1659"
"1660","Paige Hemmis","American television host and entrepreneur most famous for her time on Extreme Makeover: Home Edition","News Entertainer","1","Entertainer","-0.5","1","1660"
"1661","Pat Buchanan","American paleoconservative political commentator, author, syndicated columnist, politician and broadcaster","News Entertainer","9","Entertainer","-0.5","1","1661"
"1662","Pat O'Brien","American author and radio host, best known for his work as a sportscaster with CBS Sports, the anchor and host of Access Hollywood, and The Insider","News Entertainer","8","Entertainer","-0.5","1","1662"
"1663","Pat Robertson","American media mogul, executive chairman, and former Southern Baptist minister who advocates conservative Christian ideals","News Entertainer","2","Entertainer","-0.5","1","1663"
"1664","Pat Sajak","American television personality, former weatherman, actor and talk show host, best known as the host of the American television game show Wheel of Fortune","News Entertainer","1","Entertainer","-0.5","1","1664"
"1665","Paul Harvey","American radio broadcaster for the ABC Radio Networks","News Entertainer","5","Entertainer","-0.5","1","1665"
"1666","Paula Zahn","American journalist and newscaster who has been an anchor at ABC News, CBS News, Fox News, and CNN","News Entertainer","3","Entertainer","-0.5","1","1666"
"1667","Peter Jennings","Canadian-American journalist and news anchor","News Entertainer","3","Entertainer","-0.5","1","1667"
"1668","Peter Marshall","American TV and radio personality, singer, and actor, best remembered as the original host of ""The Hollywood Squares""","News Entertainer","1","Entertainer","-0.5","1","1668"
"1669","Petri Hawkins-Byrd","TV personality, known for his role as baliff on the court program Judge Judy","News Entertainer","5","Entertainer","-0.5","1","1669"
"1670","Phil Bronstein","American journalist and editor","News Entertainer","1","Entertainer","-0.5","1","1670"
"1671","Piers Morgan","British journalist and television personality currently working as the US editor-at-large for Mail Online and as a presenter on British breakfast show Good Morning Britain","News Entertainer","6","Entertainer","-0.5","1","1671"
"1672","Rachel Maddow","American television host, political commentator, and author","News Entertainer","6","Entertainer","-0.5","1","1672"
"1673","Randolph Hearst","American newspaper publisher who built the nation's largest newspaper chain and media company Hearst Communications ","News Entertainer","1","Entertainer","-0.5","1","1673"
"1674","Raymond Munns","former MTV VJ and Trance DJ","News Entertainer","1","Entertainer","-0.5","1","1674"
"1675","Regis Philbin","American media personality, actor, and singer, known for hosting talk and game shows since the 1960s","News Entertainer","17","Entertainer","-0.5","1","1675"
"1676","Rex Reed","American film critic and former co-host of the syndicated television show At the Movies","News Entertainer","3","Entertainer","-0.5","1","1676"
"1677","Richard Wolffe","liberal British-American journalist, MSNBC commentator, and author","News Entertainer","1","Entertainer","-0.5","1","1677"
"1678","Rick Dees","American entertainer, radio personality, comedian, actor, and voice artist, best known for his internationally syndicated radio show The Rick Dees Weekly Top 40 Countdown","News Entertainer","1","Entertainer","-0.5","1","1678"
"1679","Rick Sanchez","Cuban-American journalist, radio host, and author","News Entertainer","1","Entertainer","-0.5","1","1679"
"1680","Robb Weller","American game show host and TV personality and producer","News Entertainer","2","Entertainer","-0.5","1","1680"
"1681","Robin Leach","English entertainment reporter and writer, best known for hosting his first show, Lifestyles of the Rich and Famous, from 1984 to 1995","News Entertainer","7","Entertainer","-0.5","1","1681"
"1682","Robin Quivers","American radio personality, author, and actress, best known for being the long-running news anchor and co-host of The Howard Stern Show","News Entertainer","2","Entertainer","-0.5","1","1682"
"1683","Rocsi","Honduran-born, American television personality and model","News Entertainer","1","Entertainer","-0.5","1","1683"
"1684","Roger Ebert","American film critic and historian, journalist, screenwriter, and author","News Entertainer","2","Entertainer","-0.5","1","1684"
"1685","Roland S. Martin","American journalist, syndicated columnist with Creators Syndicate, and author","News Entertainer","2","Entertainer","-0.5","1","1685"
"1686","Ron Hendren","journalist and television personality","News Entertainer","1","Entertainer","-0.5","1","1686"
"1687","Rona Barrett","American gossip columnist and businesswoman","News Entertainer","1","Entertainer","-0.5","1","1687"
"1688","Roone Arledge","American sports and news broadcasting executive who was president of ABC Sports","News Entertainer","1","Entertainer","-0.5","1","1688"
"1689","Royale Watkins","TV personality, game show host of MTV show ""Singled Out""","News Entertainer","1","Entertainer","-0.5","1","1689"
"1690","Rupert Murdoch","Australian-born American media mogul","News Entertainer","2","Entertainer","-0.5","1","1690"
"1691","Rush Limbaugh","American entertainer, radio talk show host, writer, and conservative political commentator","News Entertainer","4","Entertainer","-0.5","1","1691"
"1692","S.E. Cupp","American conservative political commentator and writer","News Entertainer","1","Entertainer","-0.5","1","1692"
"1693","Sally Jessy Raphael","American former talk show host known for her talk show program Sally","News Entertainer","4","Entertainer","-0.5","1","1693"
"1694","Sam Donaldson","former American reporter and news anchor, serving with ABC News from 1967 to 2013","News Entertainer","11","Entertainer","-0.5","1","1694"
"1695","Sara Haines","American television host and journalist, known for her work as a correspondent on Today, ABC News and Good Morning America","News Entertainer","1","Entertainer","-0.5","1","1695"
"1696","Sarah Koenig","American journalist, public radio personality, staff producer of the TV and radio program This American Life, and the host and executive producer of the podcast Serial","News Entertainer","1","Entertainer","-0.5","1","1696"
"1697","Scottie Nell Hughes","American journalist and political commentator","News Entertainer","1","Entertainer","-0.5","1","1697"
"1698","Sean Hannity","American radio and television host, author, and conservative political commentator","News Entertainer","1","Entertainer","-0.5","1","1698"
"1699","Seymour Hersh","American investigative journalist and political writer based in Washington, D.C.","News Entertainer","1","Entertainer","-0.5","1","1699"
"1700","Sharon Osbourne","English television host, media personality, television talent competition judge, author, music manager, businesswoman, and promoter, and the wife of heavy metal singer-songwriter Ozzy Osbourne","News Entertainer","9","Entertainer","-0.5","1","1700"
"1701","Shawn Southwick","American television and radio host","News Entertainer","1","Entertainer","-0.5","1","1701"
"1702","Shepard Smith","American television news anchor","News Entertainer","5","Entertainer","-0.5","1","1702"
"1703","Simon Cowell","English reality television judge and producer, entrepreneur, and philanthropist","News Entertainer","7","Entertainer","-0.5","1","1703"
"1704","Star Jones","American lawyer, journalist, writer, television personality, fashion designer, and women's and diversity advocate","News Entertainer","11","Entertainer","-0.5","1","1704"
"1705","Stephen A. Smith","American sports television personality, sports radio host, sports journalist, and actor","News Entertainer","4","Entertainer","-0.5","1","1705"
"1706","Steve Bell","former news anchor of the ABC News programs Good Morning America and World News This Morning","News Entertainer","1","Entertainer","-0.5","1","1706"
"1707","Steve Doocy","American network-television personality on the Fox News Channel and a best selling author","News Entertainer","10","Entertainer","-0.5","1","1707"
"1708","Steve Irwin","Australian nature expert and television personality","News Entertainer","3","Entertainer","-0.5","1","1708"
"1709","Steve Kmetko","American entertainment television host and reporter","News Entertainer","2","Entertainer","-0.5","1","1709"
"1710","Steve Kroft","American journalist and a longtime correspondent for 60 Minutes","News Entertainer","1","Entertainer","-0.5","1","1710"
"1711","Steven Cojocaru","Canadian television fashion critic","News Entertainer","1","Entertainer","-0.5","1","1711"
"1712","Stone Phillips","American television reporter and correspondent","News Entertainer","3","Entertainer","-0.5","1","1712"
"1713","Stuart Scott","American sportscaster and anchor on ESPN, most notably on SportsCenter","News Entertainer","5","Entertainer","-0.5","1","1713"
"1714","Sue Johanson","Canadian writer, public speaker, registered nurse, sex educator, and media personality","News Entertainer","1","Entertainer","-0.5","1","1714"
"1715","Susan Molinari","politician, journalist, and lobbyist from New York","News Entertainer","1","Entertainer","-0.5","1","1715"
"1716","Suze Orman","American author, financial advisor, motivational speaker, and television host","News Entertainer","6","Entertainer","-0.5","1","1716"
"1717","Tabatha Coffey","Australian hairstylist, salon owner, and television personality","News Entertainer","1","Entertainer","-0.5","1","1717"
"1718","Tabitha Soren","American fine art photographer and former reporter for MTV News, ABC News and NBC News","News Entertainer","1","Entertainer","-0.5","1","1718"
"1719","Tammy Faye Bakker","American Christian singer, evangelist, entrepreneur, author, talk show host, and television personality","News Entertainer","5","Entertainer","-0.5","1","1719"
"1720","Tareq Salahi","American vintner, winery owner and television personality","News Entertainer","1","Entertainer","-0.5","1","1720"
"1721","Ted Allen","American author and television personality","News Entertainer","2","Entertainer","-0.5","1","1721"
"1722","Ted Koppel","British-born American broadcast journalist","News Entertainer","26","Entertainer","-0.5","1","1722"
"1723","Ted Turner","American media mogul and philanthropist","News Entertainer","3","Entertainer","-0.5","1","1723"
"1724","Terrence Jenkins","American actor and television personality and model best known as the host of BET's popular music video countdown show 106 & Park","News Entertainer","1","Entertainer","-0.5","1","1724"
"1725","Terry Moran","American journalist, formerly the co-anchor of the ABC-TV network news show Nightline","News Entertainer","8","Entertainer","-0.5","1","1725"
"1726","Thomas Friedman","American journalist, author, and three time Pulitzer Prize winner","News Entertainer","1","Entertainer","-0.5","1","1726"
"1727","Thomas Roberts","journalist, co-host of Miss Universe pageant in 2013 and 2014","News Entertainer","1","Entertainer","-0.5","1","1727"
"1728","Tim Russert","American television journalist and lawyer who appeared for more than 16 years as the longest-serving moderator of NBC's Meet the Press","News Entertainer","7","Entertainer","-0.5","1","1728"
"1729","Todd Newton","American entertainment personality, a Daytime Emmy winning game show host, and author/speaker","News Entertainer","2","Entertainer","-0.5","1","1729"
"1730","Tom Brokaw","American television journalist and author, best known as the anchor and managing editor of NBC Nightly News from 1982 to 2004","News Entertainer","24","Entertainer","-0.5","1","1730"
"1731","Tom Snyder","American television personality, news anchor, and radio personality best known for his late night talk shows","News Entertainer","20","Entertainer","-0.5","1","1731"
"1732","Tracy Wolfson","American sportscaster for CBS Sports","News Entertainer","1","Entertainer","-0.5","1","1732"
"1733","Ty Pennington","American television host, artist, and carpenter","News Entertainer","2","Entertainer","-0.5","1","1733"
"1734","Van Jones","American commentator, author and non-practicing attorney","News Entertainer","1","Entertainer","-0.5","1","1734"
"1735","Verne Lundquist","American sportscaster, currently employed by CBS Sports","News Entertainer","3","Entertainer","-0.5","1","1735"
"1736","Vin Scully","retired American sportscaster","News Entertainer","1","Entertainer","-0.5","1","1736"
"1737","Walter Cronkite","American broadcast journalist, best known as anchorman for the CBS Evening News for 19 years (1962–81)","News Entertainer","9","Entertainer","-0.5","1","1737"
"1738","Walter Winchell","American newspaper and radio gossip commentator, famous for attempting to destroy the careers of people both private and public whom he disliked","News Entertainer","1","Entertainer","-0.5","1","1738"
"1739","Wendy Beckett","British hermit, consecrated virgin, and art historian who became well known during the 1990's for hosting a series of BBC documentaries about the history of art","News Entertainer","1","Entertainer","-0.5","1","1739"
"1740","Willard Scott","American weather presenter, author, television personality, actor, clown, comedian and radio personality","News Entertainer","2","Entertainer","-0.5","1","1740"
"1741","William Leonard","Journalist and TV executive","News Entertainer","1","Entertainer","-0.5","1","1741"
"1742","Wolf Blitzer","American journalist and television news anchor, who has been a CNN reporter since 1990","News Entertainer","14","Entertainer","-0.5","1","1742"
"1743","Yaniv Schulman","Producer, actor, photographer, TV host. Known for: Catfish","News Entertainer","1","Entertainer","-0.5","1","1743"
"1744","Al Goldstein","American pornographer","Other Entertainer","2","Entertainer","-0.5","1","1744"
"1745","Cheryl Tiegs","American model and fashion designer","Other Entertainer","1","Entertainer","-0.5","1","1745"
"1746","Chyna","American professional wrestler, glamour model, pornographic film actress, and bodybuilder","Other Entertainer","1","Entertainer","-0.5","1","1746"
"1747","Clarissa Dickson-Wright","English celebrity chef, television personality, writer, businesswoman, and former barrister","Other Entertainer","1","Entertainer","-0.5","1","1747"
"1748","Criss Angel","American magician and illusionist","Other Entertainer","1","Entertainer","-0.5","1","1748"
"1749","David Blaine","American magician, illusionist and endurance artist","Other Entertainer","1","Entertainer","-0.5","1","1749"
"1750","Debby Douillard","Canadian magician, illusionist, escape artist and politician","Other Entertainer","1","Entertainer","-0.5","1","1750"
"1751","Doug Henning","Canadian magician, illusionist, escape artist and politician","Other Entertainer","4","Entertainer","-0.5","1","1751"
"1752","Eddy Lewis","infomercial personality, on-screen partner to Don West","Other Entertainer","3","Entertainer","-0.5","1","1752"
"1753","Elayne Boosler","American comedian and advocate for animal rescue","Other Entertainer","1","Entertainer","-0.5","1","1753"
"1754","Emeril Lagasse","American celebrity chef, restaurateur, television personality, and cookbook author","Other Entertainer","3","Entertainer","-0.5","1","1754"
"1755","Gallagher","American comedian and prop comic, known for smashing watermelons as part of his act","Other Entertainer","1","Entertainer","-0.5","1","1755"
"1756","Jamie Oliver","British celebrity chef and restaurateur","Other Entertainer","1","Entertainer","-0.5","1","1756"
"1757","Jane Fonda","American actress, writer, political activist, former fashion model and fitness guru","Other Entertainer","3","Entertainer","-0.5","1","1757"
"1758","Janice Dickinson","American model, photographer, author and talent agent","Other Entertainer","1","Entertainer","-0.5","1","1758"
"1759","Jared Fogel","former American spokesperson for Subway restaurants","Other Entertainer","3","Entertainer","-0.5","1","1759"
"1760","Jennifer Paterson","British celebrity chef, actress and television personality who appeared on the television programme Two Fat Ladies with Clarissa Dickson Wright","Other Entertainer","1","Entertainer","-0.5","1","1760"
"1761","Joey Adams","American comedian who was inducted into the New York Friars' Club in 1977 and wrote the book Borscht Belt in 1973","Other Entertainer","1","Entertainer","-0.5","1","1761"
"1762","Julian Lynch","model","Other Entertainer","1","Entertainer","-0.5","1","1762"
"1763","Lara Stone","Dutch model","Other Entertainer","2","Entertainer","-0.5","1","1763"
"1764","Long Dong Silver","retired porn star","Other Entertainer","1","Entertainer","-0.5","1","1764"
"1765","Lucille Ball","American actress, comedian, model, film-studio executive, and producer","Other Entertainer","4","Entertainer","-0.5","1","1765"
"1766","Michael Vale","American commercial actor famous for being the longtime sleepy-eyed mascot ""Fred the Baker"" for donut chain Dunkin' Donuts","Other Entertainer","1","Entertainer","-0.5","1","1766"
"1767","Noh Hong-cheol","South Korean entertainer and entrepreneur, appeared in performer Psy's viral music video for the song ""Gangnam Style""","Other Entertainer","1","Entertainer","-0.5","1","1767"
"1768","Nolé Marin","owner/director at AIM Model Management. Has also been a coach on MTV's series MADE, and a judge on America's Next Top Model","Other Entertainer","1","Entertainer","-0.5","1","1768"
"1769","Patrick R. Cox","founder and spokesperson of now-defunct US tax relief and consulting firm Tax Masters, Inc. He is best known for appearing in late-night commercials for this service","Other Entertainer","1","Entertainer","-0.5","1","1769"
"1770","Paul Hollywood","English celebrity chef, best known for being a judge on the BBC's The Great British Bake Off alongside Mary Berry since 2010","Other Entertainer","1","Entertainer","-0.5","1","1770"
"1771","Paula Deen","American celebrity chef and former cooking show television host","Other Entertainer","3","Entertainer","-0.5","1","1771"
"1772","Rachael Ray","American television personality, businesswoman, celebrity cook and author","Other Entertainer","1","Entertainer","-0.5","1","1772"
"1773","Red Skelton","American entertainer","Other Entertainer","1","Entertainer","-0.5","1","1773"
"1774","Ron Jeremy","American pornographic actor and filmmaker","Other Entertainer","3","Entertainer","-0.5","1","1774"
"1775","Roy Horn","German-American contemporary magician and entertainer, known for duo ""Siegfried & Roy"" and their performances with white lions and white tigers","Other Entertainer","4","Entertainer","-0.5","1","1775"
"1776","Sammy Stephens","businessman, former radio personality, best known for viral commercial ""It's just like a mini-mall""","Other Entertainer","1","Entertainer","-0.5","1","1776"
"1777","Señor Wences","Spanish ventriloquist","Other Entertainer","1","Entertainer","-0.5","1","1777"
"1778","Shanice Williams"," crowned Miss Turks and Caicos 2014 and represented the Islands at the Miss Universe 2014 Pageant","Other Entertainer","1","Entertainer","-0.5","1","1778"
"1779","Shari Lewis","American ventriloquist, puppeteer, and children's entertainer and television show host","Other Entertainer","1","Entertainer","-0.5","1","1779"
"1780","Siegfried Fischbacher","German-American contemporary magician and entertainer, known for duo ""Siegfried & Roy"" and their performances with white lions and white tigers","Other Entertainer","4","Entertainer","-0.5","1","1780"
"1781","Terri Irwin","American-Australian naturalist and author, and the owner of Australia Zoo in Beerwah, Queensland, widow of naturalist Steve Irwin","Other Entertainer","2","Entertainer","-0.5","1","1781"
"1782","Aaron Buerge","American businessman and television personality, best known for the role in The Bachelor","Reality TV Star","1","Entertainer","-0.5","1","1782"
"1783","Alana Thompson","American reality television star on Here Comes Honey Boo Boo, best known as ""Honey Boo Boo""","Reality TV Star","1","Entertainer","-0.5","1","1783"
"1784","Amelia Henry","Contestant on reality TV's The Apprentice","Reality TV Star","1","Entertainer","-0.5","1","1784"
"1785","Angela Raiola","American reality television personality who co-starred in the VH1 series Mob Wives","Reality TV Star","1","Entertainer","-0.5","1","1785"
"1786","Austin Russell","American actor, businessman and reality television personality, known as a cast member on the History Channel television show Pawn Stars","Reality TV Star","1","Entertainer","-0.5","1","1786"
"1787","Austin Scarlett","American fashion designer and artist best known for his appearances on the first season of Project Runway, the 2012 ""Project Runway: All-Stars"", and his own series, On the Road with Austin and Santino","Reality TV Star","1","Entertainer","-0.5","1","1787"
"1788","Bobbi Kristina Brown","American reality television and media personality, singer, and actress","Reality TV Star","1","Entertainer","-0.5","1","1788"
"1789","Brooke Hogan","American reality television star, actress, singer, and media personality","Reality TV Star","1","Entertainer","-0.5","1","1789"
"1790","Corey Harrison","American businessman and reality television personality, known as a cast member of the History TV series Pawn Stars","Reality TV Star","1","Entertainer","-0.5","1","1790"
"1791","Daisy De La Hoya","American reality TV show star, starring in Rock of Love 2 and her own show Daisy of Love","Reality TV Star","1","Entertainer","-0.5","1","1791"
"1792","Darva Conger","former emergency room nurse who in 2000 was selected as the winner of the reality television show Who Wants to Marry a Multi-Millionaire?","Reality TV Star","1","Entertainer","-0.5","1","1792"
"1793","Dave Holmes","Contestant on MTV's ""Wanna Be a VJ""","Reality TV Star","1","Entertainer","-0.5","1","1793"
"1794","Dee Kelly","British reality TV personality who is known for appearing on the British documentary series ""Benefits Street"" and reality TV series ""Celebrity Big Brother 14""","Reality TV Star","3","Entertainer","-0.5","1","1794"
"1795","Donald Trump Jr.","American businessman and former reality TV personality, son of Donald Trump","Reality TV Star","3","Entertainer","-0.5","1","1795"
"1796","Golnesa ""GG"" Gharachedaghi","reality TV star on ""Shahs of Sunset""","Reality TV Star","1","Entertainer","-0.5","1","1796"
"1797","Jai Rodriguez","American actor and musician best known as the culture guide on the Bravo network's Emmy-winning American reality television program Queer Eye for the Straight Guy","Reality TV Star","1","Entertainer","-0.5","1","1797"
"1798","Jase Robertson","American television star on the A&E reality television show Duck Dynasty, the COO of the business Duck Commander, an innovator, and a ""professional"" duck hunter","Reality TV Star","1","Entertainer","-0.5","1","1798"
"1799","Jay McCarroll","fashion designer who gained fame after winning the debut season of the competitive reality show Project Runway in 2005","Reality TV Star","1","Entertainer","-0.5","1","1799"
"1800","Jesse Camp","winner of the first Wanna Be a VJ contest on MTV","Reality TV Star","1","Entertainer","-0.5","1","1800"
"1801","Josh Duggar","American television personality, political activist, and former used car salesman known for his appearances on the reality television show 19 Kids and Counting which focuses on the life of the Duggar family","Reality TV Star","1","Entertainer","-0.5","1","1801"
"1802","June Shannon","Reality TV Star, best known as ""Mama June"" on ""Here comes Honey Boo Boo""","Reality TV Star","1","Entertainer","-0.5","1","1802"
"1803","Justin Guarini","American singer/musician, actor, host and producer, who in 2002 was the runner-up on the first season of American Idol","Reality TV Star","2","Entertainer","-0.5","1","1803"
"1804","Kara Saun","American fashion designer who participated in the first season of American reality show Project Runway","Reality TV Star","1","Entertainer","-0.5","1","1804"
"1805","Katrina Campins","real estate agent, reality TV star on The Apprentice","Reality TV Star","1","Entertainer","-0.5","1","1805"
"1806","Kendall Jenner","American fashion model and television personality","Reality TV Star","2","Entertainer","-0.5","1","1806"
"1807","Khloé Kardashian","American television personality, socialite, model, businesswoman and entrepreneur","Reality TV Star","9","Entertainer","-0.5","1","1807"
"1808","Kim Kardashian","American reality television personality, socialite, actress, businesswoman and model","Reality TV Star","14","Entertainer","-0.5","1","1808"
"1809","Kourtney Kardashian","American television personality, socialite, businesswoman and model","Reality TV Star","8","Entertainer","-0.5","1","1809"
"1810","Kris Jenner","American television personality who rose to fame for starring in the reality television series Keeping Up with the Kardashians, together with her family","Reality TV Star","3","Entertainer","-0.5","1","1810"
